stcc4,region,mode,ton,value,dir
5032,34005,Truck,3764.774827,38257501.68,in
112,34007,Truck,461.7544193,871757.5691,in
113,34007,Truck,187959.8968,24684945.7,in
114,34007,Truck,1742.747154,385904.2203,in
115,34007,Truck,602.8445779,1141123.323,in
119,34007,Truck,17206.27548,9385857.328,in
121,34007,Truck,20525.13721,15615051.54,in
122,34007,Truck,22279.12183,25352126.1,in
123,34007,Truck,11152.57965,19311009.14,in
129,34007,Truck,26468.85331,59295117.24,in
131,34007,Truck,4710.756472,5483866.271,in
133,34007,Truck,11358.48645,13413876.18,in
134,34007,Truck,23.84651501,47271.73598,in
139,34007,Truck,15378.22307,20782540.33,in
141,34007,Truck,1757.937913,3121083.574,in
151,34007,Truck,4126.938725,8608435.237,in
152,34007,Truck,2640.664731,1976019.234,in
191,34007,Truck,283.867361,918661.8465,in
192,34007,Truck,200.2135206,319284.1013,in
842,34007,Truck,570.2703753,1152417.022,in
861,34007,Truck,288.129693,269751.435,in
912,34007,Truck,943.3158239,6768954.318,in
913,34007,Truck,179.1826407,507597.055,in
1411,34007,Truck,8703.25766,1600035.28,in
1421,34007,Rail,237940,2046284,in
1421,34007,Truck,576223.2019,5180246.513,in
1441,34007,Truck,449574.6408,3461724.7,in
1451,34007,Truck,10824.01512,554730.7734,in
1471,34007,Truck,112327.6624,7301298.049,in
1491,34007,Truck,105537.6393,3817264.407,in
1911,34007,Truck,26.2058594,1135538.278,in
1929,34007,Truck,283.578899,3502128,in
1931,34007,Truck,889.0347226,20886718.26,in
1951,34007,Truck,224.0539451,9135026.949,in
1961,34007,Truck,22.66081793,454534.3119,in
2011,34007,Truck,16466.41149,52651576.44,in
2012,34007,Truck,14329.10012,46267391.06,in
2013,34007,Truck,17977.36679,58174859.83,in
2014,34007,Truck,7464.432963,3460185.457,in
2015,34007,Truck,15691.09237,49538384.34,in
2016,34007,Truck,8748.776155,24358485.17,in
2017,34007,Truck,23254.29305,66772391.85,in
2021,34007,Truck,1102.534282,717920.0516,in
2023,34007,Truck,2801.048649,3990629.593,in
2024,34007,Truck,4487.344861,5691574.845,in
2025,34007,Truck,6670.127416,17095943.72,in
2026,34007,Truck,22822.53126,20197487.58,in
2031,34007,Truck,4986.915261,2882231.838,in
2032,34007,Truck,12180.84627,15950623.83,in
2033,34007,Rail,6160,5031715.3,in
2033,34007,Truck,49661.64107,39314224.23,in
2034,34007,Truck,10286.9592,8965689.689,in
2035,34007,Truck,3692.07872,3080290.867,in
2036,34007,Truck,10888.2424,22973771.51,in
2037,34007,Truck,22659.06743,22344393.37,in
2038,34007,Truck,30916.40272,59252161.38,in
2039,34007,Rail,3800,6625426,in
2039,34007,Truck,5941.602746,10382499.67,in
2041,34007,Truck,93669.14755,36139460.24,in
2042,34007,Truck,38902.18237,7058403.821,in
2043,34007,Truck,32843.94239,45146076.3,in
2044,34007,Truck,21116.41052,9941700.665,in
2045,34007,Truck,14211.98328,13675925.13,in
2047,34007,Truck,37869.61765,13683741.81,in
2047,34007,Water,8312.1482,3003497.13,in
2051,34007,Truck,85416.42961,208205525.9,in
2051,34007,Water,2021.26892,4926913.8,in
2052,34007,Truck,4726.484356,10871366.46,in
2052,34007,Water,4812.0765,11068236.3,in
2061,34007,Truck,5347.335907,2807389.949,in
2062,34007,Truck,4005.555239,1683841.318,in
2071,34007,Truck,19983.56722,47006911.64,in
2071,34007,Water,2066.660837,4861361.284,in
2082,34007,Rail,6440,6141745,in
2082,34007,Truck,42637.9623,39138190.63,in
2083,34007,Truck,3716.081781,1848087.174,in
2084,34007,Rail,3320,6810801,in
2084,34007,Truck,25898.92117,52950705.04,in
2085,34007,Truck,13004.56733,14285195.08,in
2086,34007,Truck,188116.154,113472552.7,in
2086,34007,Water,844.63641,509488.66,in
2087,34007,Truck,2897.247511,4252476.669,in
2091,34007,Truck,1472.486819,563100.5509,in
2093,34007,Truck,33518.92956,15237646.76,in
2094,34007,Truck,1114.845824,3881739.019,in
2095,34007,Truck,2967.714552,11516662.47,in
2096,34007,Truck,6354.481377,6560129.146,in
2097,34007,Truck,20603.23325,9184230.775,in
2097,34007,Water,103.79762,46269.496,in
2098,34007,Truck,2427.850943,3957426.33,in
2099,34007,Truck,95510.88362,107970869.9,in
2099,34007,Water,9229.78172,10433863.51,in
2111,34007,Truck,2373.76718,49037060.3,in
2121,34007,Truck,1631.61736,25879919.44,in
2131,34007,Truck,648.1129306,10274912.97,in
2141,34007,Truck,1393.082233,12711135.58,in
2211,34007,Truck,821.8216329,5373717.885,in
2221,34007,Truck,1836.906431,10651795.97,in
2222,34007,Truck,208.8078806,1466753.321,in
2231,34007,Truck,191.8801389,1449952.026,in
2241,34007,Truck,592.3962045,2533133.663,in
2251,34007,Truck,89.44704421,986021.5916,in
2271,34007,Truck,1701.067909,6138488.308,in
2272,34007,Truck,972.3996195,3509009.642,in
2279,34007,Truck,935.863952,3220962.929,in
2281,34007,Truck,469.6297976,2227766.184,in
2284,34007,Truck,50.47336752,242060.0462,in
2291,34007,Truck,236.9828941,1380773.685,in
2292,34007,Truck,6.8939338,43127.496,in
2293,34007,Truck,464.2355151,2474565.479,in
2294,34007,Truck,537.7188833,2173047.409,in
2295,34007,Truck,212.916468,1339430.871,in
2296,34007,Truck,275.9583792,746045.5423,in
2297,34007,Truck,831.7145904,1455119.076,in
2298,34007,Truck,278.2887887,1676643.481,in
2299,34007,Truck,1271.061321,6589199.273,in
2311,34007,Truck,4397.553513,55696290.95,in
2331,34007,Truck,6817.701626,95674185.14,in
2351,34007,Truck,9.40121163,99124.3776,in
2352,34007,Truck,232.1773996,2269014.685,in
2371,34007,Truck,5.58606222,29659.59548,in
2381,34007,Truck,149.7645439,1348540.64,in
2384,34007,Truck,14.34838366,315628.805,in
2385,34007,Truck,212.78177,2583367.272,in
2386,34007,Truck,21.53094813,326934.1606,in
2387,34007,Truck,9.13837856,25375.10216,in
2389,34007,Truck,915.2681048,5012564.116,in
2391,34007,Truck,1585.576546,5357410.397,in
2392,34007,Truck,4573.997402,18915288.19,in
2393,34007,Truck,330.5085973,1780335.198,in
2394,34007,Truck,1109.56182,5550241.228,in
2395,34007,Truck,459.2210449,2597679.12,in
2396,34007,Truck,148.9909848,815818.0686,in
2411,34007,Truck,12396.40203,1543383.542,in
2421,34007,Rail,3400,378158.38,in
2421,34007,Truck,51258.66151,5610312.405,in
2429,34007,Truck,24301.62936,14098491.62,in
2431,34007,Truck,10152.87237,11318759.6,in
2432,34007,Truck,1604.666707,1204498.63,in
2433,34007,Truck,2411.601221,3678825.881,in
2434,34007,Truck,6965.531207,30521175.73,in
2439,34007,Truck,4954.210249,8236833.683,in
2439,34007,Water,203.560129,338437.58,in
2441,34007,Truck,18012.85681,13125119.04,in
2441,34007,Water,314.474225,229142.54,in
2491,34007,Truck,4853.164585,2473675.242,in
2492,34007,Truck,882.5074388,593817.2455,in
2493,34007,Truck,702.4089989,478166.6431,in
2494,34007,Truck,4109.88767,2835961.981,in
2495,34007,Truck,544.4382356,408910.8296,in
2496,34007,Truck,686.6027937,467406.5235,in
2497,34007,Truck,4605.939106,3135504.296,in
2498,34007,Truck,28178.6873,19182710.15,in
2499,34007,Rail,2760,1474294.4,in
2511,34007,Truck,4146.670171,7783171.672,in
2512,34007,Truck,2592.583428,12275521.77,in
2513,34007,Truck,4789.41852,21345554.14,in
2514,34007,Truck,1098.265451,5022169.426,in
2515,34007,Truck,1668.463744,7957642.5,in
2516,34007,Truck,1685.580139,7588634.89,in
2517,34007,Truck,63.94343682,396833.1325,in
2518,34007,Truck,1749.450599,7901198.021,in
2519,34007,Truck,3272.366383,14946164.47,in
2531,34007,Truck,2017.971809,11667421.54,in
2541,34007,Truck,1883.424558,6987780.56,in
2542,34007,Truck,1938.197329,7399003.912,in
2591,34007,Truck,1744.811871,5891642.659,in
2599,34007,Truck,4006.792575,21047276.76,in
2611,34007,Rail,39240,15262415,in
2631,34007,Rail,133840,96367864.1,in
2642,34007,Truck,5361.609418,11655881.15,in
2643,34007,Truck,5513.413378,7321030.194,in
2644,34007,Truck,9130.805875,19488657.3,in
2645,34007,Truck,1778.999847,3117567.322,in
2646,34007,Truck,76.90085483,177258.5419,in
2647,34007,Truck,6846.029464,16638225.05,in
2649,34007,Truck,10652.08156,21854137.17,in
